"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV4","ASV4",508.556053833576,-28.6517502705243,5.2888651751612,-5.41737203003119,6.04814087609293e-08,1.87605444751114e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV9","ASV9",733.275808164066,-26.3213536676968,5.44251004859818,-4.83625265413637,1.32309730618712e-06,2.18311055520875e-05,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV12","ASV12",190.430444561189,-30,5.44246327879942,-5.51220990628674,3.54355945156155e-08,1.75406192852297e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 91"," 91"," 80"," 11"
"ASV15","ASV15",157.722511671041,-27.780507766543,5.44247897489947,-5.10438494933388,3.31872104489131e-07,6.5710676688848e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",196.864751420283,-29.263415591556,5.44248294080621,-5.37685021888578,7.58001796974199e-08,1.87605444751114e-06,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV21","ASV21",616.137923618872,-27.7928789201516,4.86706406671515,-5.71039923436008,1.12711455993509e-08,1.11584341433574e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 87"," 87"," 72"," 24"
"ASV24","ASV24",24.021595271596,-24.1981593123826,5.44276400947803,-4.44593211652094,8.75115814668609e-06,6.74617324521085e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV30","ASV30",22.5734736616919,-25.4943329563626,5.44256201818696,-4.68425217226194,2.80983906624032e-06,3.09082297286435e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_attrantheridium","100","100","100","100","100","100"," 82"
"ASV57","ASV57",18.3955983349837,-25.2155687938555,5.44258762777068,-4.63301108193347,3.60385239461528e-06,3.56781387066913e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens","100","100","100","100","100","100"," 98"
"ASV60","ASV60",23.8876598594919,-25.5671867045376,5.4426827350642,-4.69753390911843,2.63321478893239e-06,3.09082297286435e-05,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 46"," 15"," 13","  6"
"ASV69","ASV69",10.3020303549425,-22.7503206377578,5.44551400635842,-4.1778095899108,2.9432988994124e-05,0.000208133279315591,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces","Unclassified","100","100","100"," 92"," 92"," 92"," 40"
"ASV93","ASV93",10.1944381990889,-24.1835897378197,5.44269910208417,-4.4433082344308,8.85861133209505e-06,6.74617324521085e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 60"," 60"," 37"," 18"
"ASV106","ASV106",9.73767332680677,-24.3404917674851,5.44271077967331,-4.47212662087219,7.74455455662648e-06,6.74617324521085e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 72"," 72"," 52"," 19"
"ASV150","ASV150",32.2459024099627,25.6109604009468,5.40834173983862,4.73545527130669,2.18563905887357e-06,3.09082297286435e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 82"," 82"," 81"," 45"
"ASV842","ASV842",0.779456297861757,-20.7841876221546,5.44568719693925,-3.81663266186797,0.000135285350803452,0.000892883315302783,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Unclassified","Unclassified","100","100","100"," 63"," 60"," 15"," 15"
