"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV4","ASV4",508.556053833576,27.4348963181926,5.13451400540606,5.34323137288296,9.13040983752595e-08,8.52171584835755e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 48"
"ASV9","ASV9",733.275808164066,24.8820814087945,5.28349271305642,4.70940015632208,2.48446880219867e-06,8.69564080769533e-06,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV12","ASV12",190.430444561189,21.272550257226,5.28432616127678,4.02559372907562,5.68317372803228e-05,8.84049246582799e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 91"," 91"," 80"," 11"
"ASV15","ASV15",157.722511671041,25.2639308205565,5.28351723390786,4.78165012094991,1.73862092979765e-06,8.69564080769533e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 43"
"ASV18","ASV18",196.864751420283,24.1223549598909,5.28348164497833,4.56561725407296,4.98026725596726e-06,1.54941647963426e-05,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa","100","100","100","100","100","100","100"
"ASV20","ASV20",243.701477501276,-30,5.24444400723493,-5.72033945993393,1.06311436809778e-08,2.24312590376405e-07,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 80"," 80"," 37"," 23"
"ASV21","ASV21",616.137923618872,26.700577461153,4.72556456279269,5.65024075036097,1.60223278840289e-08,2.24312590376405e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 87"," 87"," 72"," 24"
"ASV22","ASV22",177.609627784374,26.6085323972107,5.28346508343402,5.03618969313151,4.74889960732424e-07,3.32422972512697e-06,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna","100","100","100"," 96"," 96"," 63"," 63"
"ASV24","ASV24",24.021595271596,22.9431011011494,5.28383010354118,4.34213452203415,1.41105088725586e-05,3.03918652639723e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 62"," 62"," 42"," 13"
"ASV25","ASV25",24.5690263814599,24.9159596616064,5.28368926320437,4.71563682503459,2.40955901943202e-06,8.69564080769533e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 68"," 68"," 27"," 24"
"ASV26","ASV26",50.543645626688,25.0109123946164,5.28355562895986,4.73372746518051,2.20433668602895e-06,8.69564080769533e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 69"
"ASV33","ASV33",8.38413107192827,23.1987026489751,5.2841889743189,4.39021063813586,1.13240913765706e-05,2.88249598676343e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","100","100","100"," 99"," 99"," 99"," 74"
"ASV51","ASV51",12.1002284052995,23.4170324732679,5.28395627209672,4.43172336548799,9.3482904593091e-06,2.61752132860655e-05,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum","100","100","100","100","100","100"," 93"
"ASV60","ASV60",23.8876598594919,22.7410521844745,5.28392085400118,4.30382150165141,1.67876936952269e-05,3.35753873904537e-05,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 46"," 15"," 13","  6"
"ASV66","ASV66",1721.07669016952,-13.6982569400023,5.29378461991316,-2.58761130713078,0.00966439661083309,0.0135301552551663,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 64"," 64"," 45"," 40"
"ASV69","ASV69",10.3020303549425,22.3026694636361,5.28410154853368,4.22071174423682,2.43532183246844e-05,4.26181320681976e-05,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces","Unclassified","100","100","100"," 92"," 92"," 92"," 40"
"ASV78","ASV78",10.7986418276725,22.5647179337487,5.28401988094868,4.27036961293519,1.95149283917176e-05,3.64278663312063e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 81"," 81"," 78","  2"
"ASV87","ASV87",4.91537183161298,22.2219154673399,5.28471851906325,4.20493833061876,2.61153354190409e-05,4.30134936313614e-05,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 47"," 47"," 45"," 15"
"ASV93","ASV93",10.1944381990889,-18.7161259379468,5.29378461999636,-3.53549063315683,0.000407018674715659,0.000599816994317814,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","100","100","100"," 60"," 60"," 37"," 18"
"ASV116","ASV116",6.63541362359713,23.0238217111726,5.28438795011505,4.35695144423895,1.31886511041888e-05,3.03918652639723e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100","100","100","100"," 51"
