"factor_name","alpha_index","Comparison","Z","P.unadj","P.adj"
"Fire_Mod","Observed","Treated - Untreated",1.07740108202649,0.28130112094815,0.28130112094815
"Fire_Mod","Observed","Treated - Wildfire",2.51886078011857,0.0117735198149932,0.0353205594449797
"Fire_Mod","Observed","Untreated - Wildfire",1.75675167658048,0.0789601450534478,0.118440217580172
"Fire_Mod","InvSimpson","Treated - Untreated",1.20823102117142,0.226958412621669,0.226958412621669
"Fire_Mod","InvSimpson","Treated - Wildfire",2.67006618072021,0.00758362979512169,0.0227508893853651
"Fire_Mod","InvSimpson","Untreated - Wildfire",1.81432211740329,0.0696281483909,0.10444222258635
"Fire_Mod","Shannon","Treated - Untreated",1.22789121698451,0.21948780702477,0.21948780702477
"Fire_Mod","Shannon","Treated - Wildfire",2.78797471371785,0.00530386834869682,0.0159116050460904
"Fire_Mod","Shannon","Untreated - Wildfire",1.91883146125702,0.0550056668550075,0.0825085002825113
"YrSinceTrt_BR","Observed","10to12 - 1to2",1.27915899003097,0.200841074016861,1
"YrSinceTrt_BR","Observed","10to12 - 3to4",0.829000545968767,0.4071040982865,1
"YrSinceTrt_BR","Observed","1to2 - 3to4",-0.270338799212128,0.786899618716813,1
"YrSinceTrt_BR","Observed","10to12 - 5to8",1.09903376959208,0.271753336428012,0.905844454760041
"YrSinceTrt_BR","Observed","1to2 - 5to8",0.0451337511559922,0.96400069929179,0.96400069929179
"YrSinceTrt_BR","Observed","3to4 - 5to8",0.255691158564615,0.798189322729653,1
"YrSinceTrt_BR","Observed","10to12 - untreated",1.19729726815418,0.231190708852621,1
"YrSinceTrt_BR","Observed","1to2 - untreated",-0.19867792447518,0.842514693481731,1
"YrSinceTrt_BR","Observed","3to4 - untreated",0.157441255557117,0.874897101632018,0.972107890702242
"YrSinceTrt_BR","Observed","5to8 - untreated",-0.173720613067813,0.862085036957443,1
"YrSinceTrt_BR","InvSimpson","10to12 - 1to2",0.0314301759051708,0.974926476141549,0.974926476141549
"YrSinceTrt_BR","InvSimpson","10to12 - 3to4",0.981006540785273,0.326589516069499,1
"YrSinceTrt_BR","InvSimpson","1to2 - 3to4",1.25809514882343,0.208357347562593,1
"YrSinceTrt_BR","InvSimpson","10to12 - 5to8",0.33904551093672,0.73457544567211,0.918219307090137
"YrSinceTrt_BR","InvSimpson","1to2 - 5to8",0.421475460041775,0.673407927033572,1
"YrSinceTrt_BR","InvSimpson","3to4 - 5to8",-0.700756899980712,0.48345473969953,1
"YrSinceTrt_BR","InvSimpson","10to12 - untreated",0.381832618106892,0.70258552283947,1
"YrSinceTrt_BR","InvSimpson","1to2 - untreated",0.61671791940986,0.537420799633091,1
"YrSinceTrt_BR","InvSimpson","3to4 - untreated",-0.91912864666318,0.358028287113476,1
"YrSinceTrt_BR","InvSimpson","5to8 - untreated",-0.039505354229217,0.968487484793256,1
"YrSinceTrt_BR","Shannon","10to12 - 1to2",0.365637713030157,0.714635429935446,0.79403936659494
"YrSinceTrt_BR","Shannon","10to12 - 3to4",1.04030745430424,0.298197082070786,1
"YrSinceTrt_BR","Shannon","1to2 - 3to4",0.980377336716133,0.326899892528842,1
"YrSinceTrt_BR","Shannon","10to12 - 5to8",0.610892812498594,0.54127054345264,1
"YrSinceTrt_BR","Shannon","1to2 - 5to8",0.412657981798222,0.679857213905563,0.849821517381953
"YrSinceTrt_BR","Shannon","3to4 - 5to8",-0.480831245210937,0.630636441579177,1
"YrSinceTrt_BR","Shannon","10to12 - untreated",0.630063347062512,0.528653139232106,1
"YrSinceTrt_BR","Shannon","1to2 - untreated",0.450885339335986,0.652072190404864,0.931531700578377
"YrSinceTrt_BR","Shannon","3to4 - untreated",-0.7342173323148,0.462816291626385,1
"YrSinceTrt_BR","Shannon","5to8 - untreated",-0.136594784114581,0.891351099530485,0.891351099530485
