"","Fire_Mod","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2681,2,2017030,0.132918201514107
"2","Untreated","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10603,3,2017030,0.525673886853443
"3","Untreated","Oomycota","Oomycetes","Oomycota_incertrae_sedis","Lagenidiaceae","Lagena",8,1,2017030,0.000396622757222253
"4","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",256,3,2017030,0.0126919282311121
"5","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora",16,1,2017030,0.000793245514444505
"6","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",84,4,2017030,0.00416453895083365
"7","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",42,3,2017030,0.00208226947541683
"8","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",25638,16,2017030,1.27107678120801
"9","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Plasmopara",39,2,2017030,0.00193353594145848
"10","Untreated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Pseudoperonospora",14,1,2017030,0.000694089825138942
"11","Untreated","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",10,1,2017030,0.000495778446527816
"12","Untreated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",36742,3,2017030,1.8215891682325
"13","Untreated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",422957,31,2017030,20.9692964408065
"14","Untreated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",30992,6,2017030,1.53651656147901
"15","Untreated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",65386,15,2017030,3.24169695046678
"16","Untreated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",148500,25,2017030,7.36230993093806
"17","Untreated","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",14644,10,2017030,0.726017957095333
"18","Untreated","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",56247,14,2017030,2.788605028185
"19","Untreated","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",23103,8,2017030,1.14539694501321
"20","Untreated","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca",124,3,2017030,0.00614765273694491
"21","Untreated","Oomycota","Oomycetes","Sclerosporales","Sclerosporaceae","Sclerospora",7,1,2017030,0.000347044912569471
"22","Treated","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2313,2,2017030,0.114673554681884
"23","Treated","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10586,4,2017030,0.524831063494346
"24","Treated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",27,1,2017030,0.0013386018056251
"25","Treated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",86,4,2017030,0.00426369464013921
"26","Treated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",1822,3,2017030,0.090330832957368
"27","Treated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora",735,1,2017030,0.0364397158197945
"28","Treated","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",54467,14,2017030,2.70035646470305
"29","Treated","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",6,1,2017030,0.000297467067916689
"30","Treated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",26615,4,2017030,1.31951433543378
"31","Treated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",474343,24,2017030,23.5169035661344
"32","Treated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",3361,3,2017030,0.166631135877999
"33","Treated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",57193,14,2017030,2.83550566922654
"34","Treated","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",156856,22,2017030,7.7765824008567
"35","Treated","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",8625,14,2017030,0.427608910130241
"36","Treated","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",26548,12,2017030,1.31619261984204
"37","Treated","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",92853,20,2017030,4.60345160954473
