"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",422957,31,13.7844376601368,36.2748359477283
"2","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",148500,25,5.55685776872694,14.6233099177025
"3","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",65386,15,4.55486211652745,11.9864792540196
"4","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",56247,14,4.43512568886112,11.6713833917398
"5","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",25638,16,2.44064910359039,6.42276079892209
"6","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",23103,8,2.0086931427984,5.28603458631158
"7","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",30992,6,1.62581184641103,4.27845222739745
"8","Untreated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10603,3,1.577144949009,4.15038144476052
"9","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",36742,3,0.958645872881514,2.52275229705662
"10","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",14644,10,0.927207950374616,2.44002092203846
"11","Untreated","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2681,2,0.0663638704856604,0.174641764435948
"12","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca",124,3,0.0208257607878686,0.0548046336522858
"13","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",256,3,0.0114732833551211,0.0301928509345292
"14","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",84,4,0.0114247156401138,0.0300650411581941
"15","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",42,3,0.00836179662910317,0.0220047279713241
"16","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Pseudoperonospora",14,1,0.005103900838498,0.0134313179960474
"17","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Plasmopara",39,2,0.00361724898801177,0.00951907628424149
"18","Untreated","Stramenopila","Oomycota","Oomycetes","Oomycota_incertrae_sedis","Lagenidiaceae","Lagena",8,1,0.00248601615910503,0.00654214778711851
"19","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",10,1,0.000442047564317921,0.00116328306399453
"20","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora",16,1,0.000425283079049492,0.00111916599749866
"21","Untreated","Stramenopila","Oomycota","Oomycetes","Sclerosporales","Sclerosporaceae","Sclerospora",7,1,3.9977155910908e-05,0.000105203041870811
"22","Treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",474343,24,14.7789644718248,41.0526790884023
"23","Treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",92853,20,5.88047731538656,16.3346592094071
"24","Treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",156856,22,4.32272670121126,12.0075741700313
"25","Treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",26548,12,2.35118825248813,6.5310784791337
"26","Treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",57193,14,2.30302513602233,6.39729204450647
"27","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",54467,14,2.18732544610366,6.0759040169546
"28","Treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca",11164,9,1.20777635609127,3.35493432247576
"29","Treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",26615,4,1.06199400550555,2.94998334862654
"30","Treated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10586,4,0.840098745993601,2.33360762776
"31","Treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",8625,14,0.596541470692731,1.65705964081314
"32","Treated","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2313,2,0.283690712332819,0.788029756480054
"33","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",1822,3,0.0681381575218402,0.189272659782889
"34","Treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",3361,3,0.0612957014759614,0.170265837433226
"35","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora",735,1,0.0499015547559237,0.138615429877566
"36","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",86,4,0.00545409022164697,0.015150250615686
"37","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",27,1,0.00105778648383937,0.0029382957884427
"38","Treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",6,1,0.000344095888054138,0.000955821911261494
