"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",422957,31,13.7844376601368,36.2748359477283
"2","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",148500,25,5.55685776872694,14.6233099177025
"3","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",65386,15,4.55486211652745,11.9864792540196
"4","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",56247,14,4.43512568886112,11.6713833917398
"5","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",25638,16,2.44064910359039,6.42276079892209
"6","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",23103,8,2.0086931427984,5.28603458631158
"7","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",30992,6,1.62581184641103,4.27845222739745
"8","Untreated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10603,3,1.577144949009,4.15038144476052
"9","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",36742,3,0.958645872881514,2.52275229705662
"10","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",14644,10,0.927207950374616,2.44002092203846
"11","Untreated","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2681,2,0.0663638704856604,0.174641764435948
"12","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca",124,3,0.0208257607878686,0.0548046336522858
"13","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",256,3,0.0114732833551211,0.0301928509345292
"14","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",84,4,0.0114247156401138,0.0300650411581941
"15","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",42,3,0.00836179662910317,0.0220047279713241
"16","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Pseudoperonospora",14,1,0.005103900838498,0.0134313179960474
"17","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Plasmopara",39,2,0.00361724898801177,0.00951907628424149
"18","Untreated","Stramenopila","Oomycota","Oomycetes","Oomycota_incertrae_sedis","Lagenidiaceae","Lagena",8,1,0.00248601615910503,0.00654214778711851
"19","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",10,1,0.000442047564317921,0.00116328306399453
"20","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora",16,1,0.000425283079049492,0.00111916599749866
"21","Untreated","Stramenopila","Oomycota","Oomycetes","Sclerosporales","Sclerosporaceae","Sclerospora",7,1,3.9977155910908e-05,0.000105203041870811
"22","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",248433,15,8.98135367575043,44.9067683787522
"23","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",73147,13,2.47838329235268,12.3919164617634
"24","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium",45975,9,2.07771166159122,10.3885583079561
"25","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",35937,7,1.76365608638117,8.81828043190587
"26","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",16474,8,1.33634676990966,6.68173384954829
"27","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",26615,4,1.06199400550555,5.30997002752777
"28","1 to 2","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium",10586,4,0.840098745993601,4.20049372996801
"29","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",12927,5,0.680480845326732,3.40240422663366
"30","1 to 2","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo",2306,1,0.283396829298267,1.41698414649134
"31","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",2293,8,0.22015477426503,1.10077387132515
"32","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca",2540,5,0.188240680875418,0.941203404377089
"33","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora",735,1,0.0499015547559237,0.249507773779618
"34","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora",783,1,0.023149243140965,0.115746215704825
"35","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora",511,1,0.0102550723474282,0.051275361737141
"36","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia",68,2,0.00347488013402341,0.017374400670117
"37","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia",27,1,0.00105778648383937,0.00528893241919687
"38","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Salisapiliaceae","Salisapilia",6,1,0.000344095888054138,0.00172047944027069
