"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",70928,16,5.08151139501189,13.372398407926
"2","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_terrestre",189129,10,4.55542144718658,11.9879511768068
"3","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",56247,14,4.43512568886112,11.6713833917398
"4","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_helicoides",32108,6,2.53725299968971,6.67698157813081
"5","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum",13940,4,1.88527198388764,4.9612420628622
"6","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_contiguanum",24264,7,1.87466406378866,4.93332648365436
"7","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",21796,7,1.86533721587502,4.90878214703953
"8","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora","Halophytophthora_kandeliae",30950,5,1.61745106421718,4.25645016899257
"9","Untreated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium","Lagenidium_sp.sinuatum",10603,3,1.577144949009,4.15038144476052
"10","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_nodosum",11527,19,1.24080500426884,3.26527632702326
"11","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",38160,7,1.1154398176522,2.93536794119
"12","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_lucens",93300,3,1.05797516949987,2.7841451828944
"13","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium","Elongisporangium_anandrum",36718,3,0.958077704514288,2.52125711714286
"14","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_iriomotense",14668,3,0.910601807660982,2.39632054647627
"15","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces_stellatus",13291,7,0.820877849555863,2.16020486725227
"16","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_junctum",14071,6,0.706455953705543,1.85909461501459
"17","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_acanthophoron",10362,6,0.702653216660588,1.84908741226471
"18","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",17893,4,0.581381508782768,1.52995133890202
