"","Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo","Albugo_laibachii",2681,2,2017030,0.132918201514107
"2","Untreated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium","Lagenidium_sp.sinuatum",10603,3,2017030,0.525673886853443
"3","Untreated","Stramenopila","Oomycota","Oomycetes","Oomycota_incertrae_sedis","Lagenidiaceae","Lagena","Lagena_sp",8,1,2017030,0.000396622757222253
"4","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia","Bremia_lactucae",66,2,2017030,0.00327213774708358
"5","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Bremia","Bremia_sonchicola",190,1,2017030,0.0094197904840285
"6","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora","Hyaloperonospora_arabidopsidis",16,1,2017030,0.000793245514444505
"7","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Perofascia","Perofascia_sp.",84,4,2017030,0.00416453895083365
"8","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora","Peronosclerospora_philippinensis",6,1,2017030,0.000297467067916689
"9","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora","Peronosclerospora_sacchari",20,1,2017030,0.000991556893055631
"10","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronosclerospora","Peronosclerospora_sorghi",16,1,2017030,0.000793245514444505
"11","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_cuyabensis",7,1,2017030,0.000347044912569471
"12","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_erythroseptica",25,1,2017030,0.00123944611631954
"13","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_foliorum",6,1,2017030,0.000297467067916689
