"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence"
"1","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",2.30938854925331,5
"2","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_pseudosyringae",0.0481417292509147,1
"3","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum",3.00924438389289,4
"4","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_versiformis",0.579506437264268,2
"5","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_anandrum",0.0310032736375891,1
"6","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae",4.87933025560272,8
"7","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_attrantheridium",0.584068087190791,1
"8","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_folliculosum",0.0361253979916728,1
"9","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_grandisporangium",0.350613600497337,2
"10","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_junctum",0.0238782977084537,1
"11","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",3.6262388949012,6
"12","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens",0.379806514817536,1
"13","untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",4.14265457799133,5
"14","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora","Peronospora_digitalidis",0.142718446601942,1
"15","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_cambivora",1.58405837777154,2
"16","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",4.70937322809565,6
"17","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_pseudosyringae",0.0463768115942029,1
"18","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum",0.0856389986824769,1
"19","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aquasilvae",11.9154536913241,13
"20","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_attrantheridium",1.41971095945403,2
"21","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_folliculosum",0.081493376154155,1
"22","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_heterothallicum",1,1
"23","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_irregulare",0.246376811594203,1
"24","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_iwayamai",1.56452793020965,2
"25","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",2.73362243854491,5
"26","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum",0.108659181829914,1
"27","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_parvum",0.498795664391811,1
"28","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rhizoterrae",0.486189145462568,1
"29","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens",4.29858206133908,8
"30","treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.07842287694974,1
