"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora",63,2,1570199,0.00401223029692415
"2","untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",25409,8,1570199,1.61820253356422
"3","untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",598409,32,1570199,38.1103923770172
"4","untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",19888,5,1570199,1.26659104992425
"5","untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces",13398,8,1570199,0.853267643145869
"6","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Peronospora",735,1,1570199,0.0468093534641151
"7","treated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",53980,8,1570199,3.43778081631691
"8","treated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",849865,43,1570199,54.1246682745308
"9","treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",181,1,1570199,0.0115272013292583
"10","treated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Aphanomyces",8271,14,1570199,0.52674852041047
