"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",25492,10,1289332,1.97714785640937
"2","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",36742,3,1289332,2.84969270909277
"3","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",394093,22,1289332,30.5656727669832
"4","Untreated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",96405,19,1289332,7.47712769092833
"5","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",13398,8,1289332,1.03914274988909
"6","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",19400,5,1289332,1.50465512373849
"7","Untreated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",5204,2,1289332,0.403619858965728
"8","1 to 2","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",35911,6,1289332,2.78524072930789
"9","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium",26615,4,1289332,2.06424722259278
"10","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",233287,14,1289332,18.0936329820403
"11","1 to 2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",68773,12,1289332,5.33400241365296
"12","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",2279,7,1289332,0.176758197268043
"13","1 to 2","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",1027,2,1289332,0.0796536501071873
"14","3 to 4","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",20,1,1289332,0.00155119084921494
"15","3 to 4","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",2127,1,1289332,0.164969146814009
"16","3 to 4","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",458,1,1289332,0.0355222704470222
"17","3 to 4","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",1856,2,1289332,0.143950510807147
"18","3 to 4","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya",181,1,1289332,0.0140382771853952
"19","5 to 8","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",18079,2,1289332,1.40219896814785
"20","5 to 8","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",121855,4,1289332,9.45101804655434
"21","5 to 8","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",24712,1,1289332,1.91665141328998
"22","5 to 8","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",1011,1,1289332,0.0784126974278153
"23","5 to 8","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",9685,2,1289332,0.751164168732336
"24","10 to 12","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora",26,2,1289332,0.00201654810397943
"25","10 to 12","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",83849,4,1289332,6.50329007579118
"26","10 to 12","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",47541,3,1289332,3.68725820812638
"27","10 to 12","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces",2431,2,1289332,0.188547247722076
"28","10 to 12","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia",16875,3,1289332,1.30881727902511
