YrSinceTrt_BR,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Other,0.24241083962918525,0.13030479707974552,0.019424692270975135,45,100
SOD-UT,Russula,0.1784471360602485,0.21199396464439643,0.03160219438430383,45,97.77777777777777
SOD-UT,Mortierella,0.07050266055397436,0.07963365951874603,0.011871085065399287,45,100
SOD-UT,Podila,0.06074782448281204,0.04860212466858799,0.007245176973992145,45,100
SOD-UT,Saitozyma,0.04972862952159853,0.03956154651679958,0.005897487153772259,45,100
SOD-UT,Inocybe,0.045351902970777645,0.07478059964224602,0.011147633613217236,45,91.11111111111111
SOD-UT,Rhizopogon,0.04054999994467262,0.12386538758339463,0.01846476177972192,45,97.77777777777777
SOD-UT,Amanita,0.03668776737833188,0.09391742864292398,0.014000383647837587,45,55.55555555555556
SOD-UT,Sebacina,0.03661968715825301,0.07146402438571706,0.010653227764811065,45,82.22222222222221
SOD-UT,Umbelopsis,0.03563772512447189,0.027171365548575993,0.004050468027207452,45,97.77777777777777
SOD-UT,Geminibasidium,0.034202514609335974,0.035017778597238945,0.005220142224297567,45,100
SOD-UT,Saccharomycetales_gen_Incertae_sedis,0.026654915831246094,0.025593949841006228,0.003815320777147324,45,100
SOD-UT,Lactarius,0.022835638278336078,0.04435389257790846,0.006611887924728447,45,80
SOD-UT,Hygrophorus,0.017318108423328194,0.11600821867256401,0.01729348419336757,45,8.88888888888889
SOD-UT,Byssocorticium,0.014759696669991369,0.035935728501033985,0.005356982116619241,45,48.888888888888886
SOD-UT,Melanogaster,0.01458684299539038,0.026594216221867136,0.003964431685361503,45,100
SOD-UT,Solicoccozyma,0.014448854580611238,0.01392900143916275,0.0020764129384440205,45,100
SOD-UT,Tomentella,0.013374653670984525,0.02401956221043716,0.0035806249261548396,45,97.77777777777777
SOD-UT,Cortinarius,0.012694139967138455,0.026811680670975557,0.003996849371421234,45,80
SOD-UT,Oidiodendron,0.012073963126047695,0.012561726718149669,0.0018725916571038666,45,97.77777777777777
SOD-UT,Tuber,0.010211520530128923,0.019680691735028885,0.0029338243042495243,45,62.22222222222222
SOD-UT,Clavulina,0.010154978493135255,0.03619896720583824,0.005396223425835995,45,42.22222222222222
1-2 PT,Other,0.2795471130858126,0.1798579544441312,0.03924822336095954,21,100
1-2 PT,Russula,0.0952250473448675,0.1801661049918124,0.0393154673233496,21,95.23809523809523
1-2 PT,Saitozyma,0.08679792435666782,0.10367821365540555,0.022624441047319057,21,100
1-2 PT,Podila,0.06111128345976702,0.05021504883545032,0.010957822014969296,21,100
1-2 PT,Umbelopsis,0.05459368867414143,0.0568191188067401,0.012398948231075022,21,100
1-2 PT,Mortierella,0.049702504063975535,0.05348763556342791,0.011671958986362875,21,100
1-2 PT,Geminibasidium,0.046110224270479935,0.061112286136249055,0.013335794148150556,21,100
1-2 PT,Clavulina,0.029907085875266706,0.0981876312066982,0.021426297729195368,21,38.095238095238095
1-2 PT,Saccharomycetales_gen_Incertae_sedis,0.028230800050248302,0.02643009756168371,0.005767520128642066,21,100
1-2 PT,Inocybe,0.02544541331421012,0.05066815353373732,0.0110566975662855,21,95.23809523809523
1-2 PT,Sebacina,0.02469369699604893,0.06890119595112126,0.015035473615190384,21,61.904761904761905
1-2 PT,Solicoccozyma,0.022743608895329056,0.024503318669932456,0.005347062503932864,21,100
1-2 PT,Melanogaster,0.021690214734515132,0.07504958183459476,0.01637716141103873,21,66.66666666666666
1-2 PT,Amanita,0.02028888275038858,0.05868217570057387,0.012805500575837049,21,61.904761904761905
1-2 PT,Sagenomella,0.01829858443990284,0.034605735889434414,0.007551590675856342,21,90.47619047619048
1-2 PT,Wilcoxina,0.01731315983125349,0.05528509559639936,0.012064196922541421,21,33.33333333333333
1-2 PT,Oidiodendron,0.01595591345722096,0.019912727570974304,0.00434531339938209,21,100
1-2 PT,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.01551302020765744,0.029754884581916215,0.006493048137681215,21,80.95238095238095
1-2 PT,Alpova,0.015396291809866581,0.019711071499003717,0.004301308436803391,21,80.95238095238095
1-2 PT,Cladophialophora,0.014673392827389605,0.024757328334369014,0.005402491957005762,21,100
1-2 PT,Rhizopogon,0.012465326570079155,0.01264152928460721,0.0027586078498434996,21,95.23809523809523
1-2 PT,Tomentella,0.012138324891486136,0.022163307226931706,0.00483643014371316,21,76.19047619047619
1-2 PT,Leucoscypha,0.011823277799961304,0.037595506271862776,0.008204012060999915,21,38.095238095238095
1-2 PT,Pyrenochaeta,0.010212317310767485,0.03101992336555316,0.006769102232113175,21,76.19047619047619
1-2 PT,Camptobasidium,0.010122902982696401,0.04636161548129515,0.01011693391826055,21,9.523809523809524
3-4 PT,Saitozyma,0.15681392059115717,0.07862362448823829,0.03931181224411914,4,100
3-4 PT,Other,0.15564951573377364,0.08355633926164917,0.041778169630824584,4,100
3-4 PT,Russula,0.15381771599378702,0.29999523614224016,0.14999761807112008,4,100
3-4 PT,Umbelopsis,0.10531625700660298,0.06577044290016988,0.03288522145008494,4,100
3-4 PT,Chaetothyriales_gen_Incertae_sedis,0.04724709185225938,0.08580712375128381,0.042903561875641906,4,100
3-4 PT,Oidiodendron,0.04141219304098664,0.051010884181343176,0.025505442090671588,4,100
3-4 PT,Geminibasidium,0.040268795477285665,0.02041833188016526,0.01020916594008263,4,100
3-4 PT,Podila,0.038585627462605736,0.03420602608878331,0.017103013044391654,4,100
3-4 PT,Solicoccozyma,0.03333421127587533,0.0387073738835134,0.0193536869417567,4,100
3-4 PT,Saccharomycetales_gen_Incertae_sedis,0.028676282443613334,0.01653754969685744,0.00826877484842872,4,100
3-4 PT,Mortierella,0.023089397510928908,0.017232018091412386,0.008616009045706193,4,100
3-4 PT,Alpova,0.02131847545097619,0.03305352707699047,0.016526763538495234,4,100
