Fire_Mod,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Other,0.24241083962918525,0.13030479707974552,0.019424692270975135,45,100
SOD-UT,Russula,0.1784471360602485,0.21199396464439643,0.03160219438430383,45,97.77777777777777
SOD-UT,Mortierella,0.07050266055397436,0.07963365951874603,0.011871085065399287,45,100
SOD-UT,Podila,0.06074782448281204,0.04860212466858799,0.007245176973992145,45,100
SOD-UT,Saitozyma,0.04972862952159853,0.03956154651679958,0.005897487153772259,45,100
SOD-UT,Inocybe,0.045351902970777645,0.07478059964224602,0.011147633613217236,45,91.11111111111111
SOD-UT,Rhizopogon,0.04054999994467262,0.12386538758339463,0.01846476177972192,45,97.77777777777777
SOD-UT,Amanita,0.03668776737833188,0.09391742864292398,0.014000383647837587,45,55.55555555555556
SOD-UT,Sebacina,0.03661968715825301,0.07146402438571706,0.010653227764811065,45,82.22222222222221
SOD-UT,Umbelopsis,0.03563772512447189,0.027171365548575993,0.004050468027207452,45,97.77777777777777
SOD-UT,Geminibasidium,0.034202514609335974,0.035017778597238945,0.005220142224297567,45,100
SOD-UT,Saccharomycetales_gen_Incertae_sedis,0.026654915831246094,0.025593949841006228,0.003815320777147324,45,100
SOD-UT,Lactarius,0.022835638278336078,0.04435389257790846,0.006611887924728447,45,80
SOD-UT,Hygrophorus,0.017318108423328194,0.11600821867256401,0.01729348419336757,45,8.88888888888889
SOD-UT,Byssocorticium,0.014759696669991369,0.035935728501033985,0.005356982116619241,45,48.888888888888886
SOD-UT,Melanogaster,0.01458684299539038,0.026594216221867136,0.003964431685361503,45,100
SOD-UT,Solicoccozyma,0.014448854580611238,0.01392900143916275,0.0020764129384440205,45,100
SOD-UT,Tomentella,0.013374653670984525,0.02401956221043716,0.0035806249261548396,45,97.77777777777777
SOD-UT,Cortinarius,0.012694139967138455,0.026811680670975557,0.003996849371421234,45,80
SOD-UT,Oidiodendron,0.012073963126047695,0.012561726718149669,0.0018725916571038666,45,97.77777777777777
SOD-UT,Tuber,0.010211520530128923,0.019680691735028885,0.0029338243042495243,45,62.22222222222222
SOD-UT,Clavulina,0.010154978493135255,0.03619896720583824,0.005396223425835995,45,42.22222222222222
SOD-T,Other,0.3183941390170471,0.16734567161423422,0.0267967534428597,39,100
SOD-T,Russula,0.09603686548869772,0.1779545040844178,0.02849552620033766,39,92.3076923076923
SOD-T,Saitozyma,0.07736888074415503,0.0893927976778907,0.014314303655632318,39,100
SOD-T,Inocybe,0.06046453856568843,0.1243092276705544,0.019905407127822128,39,92.3076923076923
SOD-T,Umbelopsis,0.05872267073180109,0.05857256579140802,0.009379116823805168,39,100
SOD-T,Podila,0.04834003202561694,0.049453949852335255,0.007918969688223806,39,97.43589743589743
SOD-T,Mortierella,0.04179938258920639,0.04305960726148185,0.006895055414353212,39,97.43589743589743
SOD-T,Geminibasidium,0.03915728311119058,0.050400030849542796,0.008070463891656726,39,100
SOD-T,Saccharomycetales_gen_Incertae_sedis,0.023200960892375905,0.0223185183058451,0.003573823131980017,39,100
SOD-T,Tuber,0.022744174069369478,0.05914231542644337,0.009470349780994501,39,48.717948717948715
SOD-T,Oidiodendron,0.019649346051666235,0.0235118839710004,0.0037649145727557147,39,100
SOD-T,Melanogaster,0.01957262624644396,0.0650845733926597,0.010421872578558294,39,74.35897435897436
SOD-T,Solicoccozyma,0.018889681500872085,0.022931306277703005,0.003671947738587587,39,100
SOD-T,Sagenomella,0.018032541128386193,0.02802397938086097,0.0044874280805290954,39,92.3076923076923
SOD-T,Sebacina,0.017349673092610745,0.0520460753953309,0.008334041965854707,39,64.1025641025641
SOD-T,Amanita,0.0167067163297945,0.05524565366874696,0.008846384527731689,39,48.717948717948715
SOD-T,Clavulina,0.016159293693573475,0.07280475352939733,0.011658090770896795,39,23.076923076923077
SOD-T,Cladophialophora,0.014984463803994583,0.021484578436198373,0.0034402858802690317,39,100
SOD-T,Rhizopogon,0.012760248697982812,0.012462310466169864,0.001995566767093595,39,97.43589743589743
SOD-T,Alpova,0.012572857093305717,0.019418541432897184,0.0031094551892374175,39,76.92307692307693
SOD-T,Wilcoxina,0.012132460450806208,0.04343381141482766,0.006954976034574673,39,28.205128205128204
SOD-T,Tomentella,0.012096127361627422,0.020468152947784677,0.0032775275433289124,39,74.35897435897436
SOD-T,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.011957254879901966,0.022859164648947106,0.0036603958327624127,39,82.05128205128204
SOD-T,Exophiala,0.01090778243388554,0.020565078764180126,0.0032930480953643664,39,89.74358974358975
Wildfire,Other,0.24979986969471688,0.13430926623349831,0.0358956612939112,14,100
Wildfire,Umbelopsis,0.10855436370421426,0.11232064710295529,0.030018955637142984,14,100
Wildfire,Geminibasidium,0.09581387263208618,0.07726154342901528,0.020649016048909338,14,92.85714285714286
Wildfire,Lyophyllum,0.0834218781163709,0.20048169367845936,0.05358098643321129,14,71.42857142857143
Wildfire,Mortierella,0.048578206075136576,0.08181363324144428,0.021865613225476005,14,92.85714285714286
Wildfire,Oidiodendron,0.04592863784754628,0.08457786959353504,0.022604386465875252,14,85.71428571428571
Wildfire,Cladosporium,0.04294763708699638,0.0736086821021147,0.01967274779414802,14,100
Wildfire,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.04040266004002567,0.039022307740479704,0.010429150429009416,14,100
Wildfire,Podila,0.03346049863891149,0.054067503783298575,0.014450148208229081,14,85.71428571428571
Wildfire,Saccharomycetales_gen_Incertae_sedis,0.032301620428929756,0.04029966696276821,0.010770539041126532,14,78.57142857142857
Wildfire,Saitozyma,0.03207989472693355,0.039815170620744474,0.010641051947055242,14,100
Wildfire,Sagenomella,0.03135642508049552,0.02873881878221104,0.00768077239882983,14,85.71428571428571
