Fire_Mod,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Basidiomycota,0.6558488018340082,0.15116934192092893,0.022534994976607048,45,100
SOD-UT,Ascomycota,0.15302629295471984,0.08315886321037083,0.012396591404666372,45,100
SOD-UT,Mortierellomycota,0.139959461492267,0.10603801965252099,0.01580721467616637,45,100
SOD-UT,Mucoromycota,0.03502771086589617,0.025253181240267913,0.0037645219934240998,45,100
SOD-UT,Other,0.016137732853108842,0.014278571172754552,0.0021285237175898714,45,100
SOD-T,Basidiomycota,0.5531887983215973,0.16206982487926794,0.025951941845430954,39,100
SOD-T,Ascomycota,0.2633735061536265,0.12828799872974064,0.020542520391942733,39,100
SOD-T,Mortierellomycota,0.10092953756106388,0.09079676222699869,0.014539117906888771,39,100
SOD-T,Mucoromycota,0.05556712325220867,0.05629014775037892,0.009013637436683755,39,100
SOD-T,Chytridiomycota,0.017140675634418432,0.01960558602971357,0.003139406295204842,39,100
SOD-T,Other,0.009800359077085284,0.010846456556199549,0.001736823063671317,39,97.43589743589743
Wildfire,Ascomycota,0.3953938660688625,0.23176742356873628,0.06194244945782336,14,100
Wildfire,Basidiomycota,0.3578497936576066,0.19168788125283653,0.05123074120319442,14,100
Wildfire,Mucoromycota,0.10781502292929421,0.11094513652658822,0.029651334972239443,14,100
Wildfire,Mortierellomycota,0.08917023193481381,0.13010332192662788,0.03477157539504252,14,100
Wildfire,Monoblepharomycota,0.02233751026782248,0.06285546689631107,0.016798830143693374,14,71.42857142857143
Wildfire,Chytridiomycota,0.015723687965933868,0.018642262502686968,0.00498235422852554,14,100
Wildfire,Other,0.011709887175666485,0.01198195563748677,0.003202312344214289,14,85.71428571428571
