Treatuntreat_EP,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Basidiomycota,0.6558488018340082,0.15116934192092893,0.022534994976607048,45,100
SOD-UT,Ascomycota,0.15302629295471984,0.08315886321037083,0.012396591404666372,45,100
SOD-UT,Mortierellomycota,0.139959461492267,0.10603801965252099,0.01580721467616637,45,100
SOD-UT,Mucoromycota,0.03502771086589617,0.025253181240267913,0.0037645219934240998,45,100
SOD-UT,Other,0.016137732853108842,0.014278571172754552,0.0021285237175898714,45,100
SOD-T,Basidiomycota,0.5531887983215973,0.16206982487926794,0.025951941845430954,39,100
SOD-T,Ascomycota,0.2633735061536265,0.12828799872974064,0.020542520391942733,39,100
SOD-T,Mortierellomycota,0.10092953756106388,0.09079676222699869,0.014539117906888771,39,100
SOD-T,Mucoromycota,0.05556712325220867,0.05629014775037892,0.009013637436683755,39,100
SOD-T,Chytridiomycota,0.017140675634418432,0.01960558602971357,0.003139406295204842,39,100
SOD-T,Other,0.009800359077085284,0.010846456556199549,0.001736823063671317,39,97.43589743589743
