YrSinceTrt_BR,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Globisporangium,0.36274835947728346,0.33846025472134067,0.05490550351717577,38,81.57894736842105
SOD-UT,Pythium,0.14623309917702473,0.21208790521572307,0.034405201388741063,38,65.78947368421053
SOD-UT,Phytopythium,0.11986479254019616,0.23970946024103792,0.038886009298789194,38,39.473684210526315
SOD-UT,Achlya,0.11671383391739801,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Phytophthora,0.06422760798922086,0.19304925426264724,0.03131672437472056,38,42.10526315789473
SOD-UT,Saprolegnia,0.0528603458631158,0.18735504059067543,0.03039300094063107,38,21.052631578947366
SOD-UT,Halophytophthora,0.04278452227397451,0.1339740746090908,0.021733464777765523,38,15.789473684210526
SOD-UT,Lagenidium,0.04150381444760516,0.16565209628360242,0.026872318472415894,38,7.894736842105263
SOD-UT,Elongisporangium,0.02522752297056615,0.12759559505040102,0.020698738759101346,38,7.894736842105263
SOD-UT,Aphanomyces,0.02440020922038463,0.06398239923662621,0.010379315731521321,38,26.31578947368421
SOD-UT,Other,0.0034358921232305294,0.009518819723963977,0.0015441564631089692,38,31.57894736842105
1-2 PT,Globisporangium,0.44906768378752165,0.35030281354363924,0.07833009037930112,20,75
1-2 PT,Pythium,0.12391916461763407,0.18510057125282448,0.04138974599953589,20,65
1-2 PT,Phytopythium,0.10388558307956093,0.16627192476325142,0.03717953265203608,20,45
1-2 PT,Phytophthora,0.08818280431905864,0.17058041452151515,0.03814294025002001,20,35
1-2 PT,Saprolegnia,0.06681733849548287,0.15650211526836408,0.03499493683625698,20,40
1-2 PT,Elongisporangium,0.05309970027527767,0.13441060710273,0.030055125437872032,20,20
1-2 PT,Lagenidium,0.04200493729968007,0.1331543073467828,0.0297742082724306,20,20
1-2 PT,Achlya,0.03402404226633664,0.099400596684055,0.022226649118958716,20,25
1-2 PT,Albugo,0.01416984146491336,0.06336945749188293,0.014169841464913355,20,5
1-2 PT,Other,0.013821165681282577,0.023340406422205473,0.005219073538252409,20,50
1-2 PT,Aphanomyces,0.011007738713251522,0.025614192651962856,0.005727507595856456,20,40
3-4 PT,Thraustotheca,0.3011994096330666,0.4652190457679202,0.2685943413062496,3,66.66666666666666
3-4 PT,Globisporangium,0.27766057196436944,0.48092221790092243,0.27766057196436944,3,33.33333333333333
3-4 PT,Achlya,0.18694568141375442,0.2582285572590713,0.1490883270459735,3,66.66666666666666
3-4 PT,Aphanomyces,0.08975526566772939,0.14862438713946627,0.085808329923114,3,66.66666666666666
3-4 PT,Saprolegnia,0.08711217400876063,0.14032275619458404,0.08101538106237333,3,66.66666666666666
3-4 PT,Pythium,0.05479779333522096,0.0936992438534379,0.05409728366164677,3,66.66666666666666
3-4 PT,Other,0.002529103977098606,0.0036458524975566745,0.0021049339208900155,3,66.66666666666666
5-8 PT,Saprolegnia,0.4136051568329007,0.4250237232947597,0.16064386759152344,7,85.71428571428571
5-8 PT,Globisporangium,0.4028484700460426,0.4286670846843097,0.1620209287591069,7,57.14285714285714
5-8 PT,Pythium,0.09141463337430046,0.20128107807769433,0.07607709660236485,7,28.57142857142857
5-8 PT,Phytophthora,0.05734090322937076,0.14750373519504767,0.055751171539888796,7,28.57142857142857
5-8 PT,Other,0.018576205737537342,0.0213201369944431,0.008058254343589215,7,57.14285714285714
5-8 PT,Thraustotheca,0.016214630779848173,0.04289988064421156,0.01621463077984817,7,14.285714285714285
10-12 PT,Globisporangium,0.3574482983098307,0.3883062589818769,0.1585253664057693,6,66.66666666666666
10-12 PT,Saprolegnia,0.23125965427005196,0.35843266812604324,0.14632952400885832,6,66.66666666666666
10-12 PT,Achlya,0.17932904647980236,0.4012586799289715,0.16381317011478902,6,66.66666666666666
10-12 PT,Pythium,0.17334126587213541,0.23740064331009308,0.09691840678636683,6,83.33333333333334
10-12 PT,Phytopythium,0.031141942952703637,0.07503688214446523,0.0306336788572163,6,33.33333333333333
10-12 PT,Other,0.027479792115475913,0.02975407177358054,0.012147048935903336,6,66.66666666666666
