"YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.13372398407926,0.260583261050899,0.0422721869305654,38,42.1052631578947
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_terrestre",0.119879511768068,0.261736965182415,0.0424593424543443,38,26.3157894736842
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.116713833917398,0.215557187444478,0.0349679932821934,38,36.8421052631579
"SOD-UT","Other","Other","Other","Other","Other","Other","Other",0.0789947376530392,NA,NA,NA,NA
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_helicoides",0.066769815781308,0.21744022256952,0.0352734619162169,38,15.7894736842105
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_ramorum",0.0496124206286221,0.189249320961548,0.0307002937944142,38,10.5263157894737
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_contiguanum",0.0493332648365436,0.131534935220192,0.0213377841197624,38,18.4210526315789
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.0490878214703952,0.174230799651464,0.0282639679242096,38,18.4210526315789
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora","Halophytophthora_kandeliae",0.0425645016899258,0.134029917191301,0.0217425236408113,38,13.1578947368421
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium","Lagenidium_sp.sinuatum",0.0415038144476052,0.165652096283602,0.0268723184724159,38,7.89473684210526
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_nodosum",0.0326527632702325,0.0777375740253595,0.0126106997336517,38,50
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",0.0293536794119,0.0967756792030873,0.0156990882112196,38,18.4210526315789
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_lucens",0.027841451828944,0.13769848396124,0.0223376437557438,38,7.89473684210526
