YrSinceTrt_BR,Species,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Globisporangium_aquisylvae,0.1337239840792603,0.26058326105089913,0.04227218693056534,38,42.10526315789473
SOD-UT,Globisporangium_terrestre,0.11987951176806785,0.2617369651824149,0.04245934245434426,38,26.31578947368421
SOD-UT,Achlya_hypogyna,0.11671383391739801,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Other,0.07899473765303913,0.1642325421447235,0.026642036382634897,38,73.68421052631578
SOD-UT,Phytopythium_helicoides,0.06676981578130806,0.21744022256952025,0.035273461916216886,38,15.789473684210526
SOD-UT,Phytophthora_ramorum,0.049612420628622034,0.1892493209615482,0.03070029379441416,38,10.526315789473683
SOD-UT,Pythium_contiguanum,0.0493332648365436,0.13153493522019244,0.02133778411976241,38,18.421052631578945
SOD-UT,Saprolegnia_parasitica,0.04908782147039525,0.17423079965146357,0.02826396792420959,38,18.421052631578945
SOD-UT,Halophytophthora_kandeliae,0.04256450168992574,0.13402991719130108,0.021742523640811286,38,13.157894736842104
SOD-UT,Lagenidium_sp.sinuatum,0.04150381444760516,0.16565209628360242,0.026872318472415894,38,7.894736842105263
SOD-UT,Globisporangium_nodosum,0.03265276327023255,0.0777375740253595,0.01261069973365167,38,50
SOD-UT,Pythium_monospermum,0.029353679411899977,0.09677567920308741,0.01569908821121962,38,18.421052631578945
SOD-UT,Globisporangium_lucens,0.02784145182894398,0.13769848396123988,0.022337643755743847,38,7.894736842105263
SOD-UT,Elongisporangium_anandrum,0.025212571171428635,0.12750495145632518,0.020684034426453963,38,7.894736842105263
SOD-UT,Phytopythium_iriomotense,0.023963205464762678,0.09497523884312108,0.0154070182173647,38,7.894736842105263
SOD-UT,Aphanomyces_stellatus,0.021602048672522706,0.06338562063763194,0.010282505459092045,38,18.421052631578945
SOD-UT,Pythium_junctum,0.018590946150145872,0.07937166632055018,0.012875784508036333,38,15.789473684210526
SOD-UT,Globisporangium_acanthophoron,0.018490874122647064,0.0638587488710565,0.010359256993495264,38,15.789473684210526
SOD-UT,Pythium_brachiatum,0.015299513389020207,0.07361637907609637,0.011942153632225287,38,10.526315789473683
SOD-UT,Pythium_jasmonium,0.014355596580352965,0.040275330215810846,0.006533521304119577,38,15.789473684210526
SOD-UT,Phytopythium_aichiense,0.012657592686438558,0.06950679483815607,0.011275491036890028,38,7.894736842105263
SOD-UT,Phytophthora_nemorosa,0.011796050979439636,0.03832222187825991,0.006216685293979724,38,13.157894736842104
1-2 PT,Globisporangium_aquisylvae,0.23373694533387673,0.354778959420753,0.07933098702514431,20,45
1-2 PT,Other,0.07867563604760666,0.08152945645516461,0.01823054068023571,20,80
1-2 PT,Globisporangium_terrestre,0.07721425978784105,0.18388800057217927,0.041118606952591306,20,20
1-2 PT,Globisporangium_attrantheridium,0.060424402576671525,0.17806605262294875,0.03981677981499681,20,15
1-2 PT,Saprolegnia_parasitica,0.05470719270720097,0.1557703473677939,0.03483130855931426,20,30
1-2 PT,Elongisporangium_anandrum,0.05309970027527767,0.13441060710273,0.030055125437872032,20,20
1-2 PT,Phytopythium_helicoides,0.05105993788197867,0.12386423904694993,0.02769688584902638,20,30
1-2 PT,Phytophthora_nemorosa,0.047357211324921177,0.10483277704603844,0.023441321574502155,20,20
1-2 PT,Lagenidium_sp.sinuatum,0.04192462388146264,0.13318043855017644,0.029780051387142806,20,15
1-2 PT,Phytopythium_aichiense,0.034854662753536436,0.10456189236593147,0.023380749918623905,20,15
1-2 PT,Achlya_hypogyna,0.03402404226633664,0.099400596684055,0.022226649118958716,20,25
1-2 PT,Pythium_brachiatum,0.029802347262726424,0.09629772564513422,0.021532826062114492,20,25
1-2 PT,Pythium_insidiosum,0.028858382112545933,0.05449978135433551,0.012186521586716974,20,35
1-2 PT,Phytophthora_europaea,0.028842417425094594,0.12898721199587193,0.028842417425094594,20,5
1-2 PT,Pythium_dissotocum,0.02776796644524273,0.12418212113699191,0.027767966445242737,20,5
1-2 PT,Globisporangium_rostratifingens,0.01814775748254993,0.06020160121131258,0.01346148726628286,20,10
1-2 PT,Phytopythium_iriomotense,0.017970982444045807,0.08029850584887287,0.01795529175697442,20,10
1-2 PT,Pythium_contiguanum,0.015318675801239206,0.04136502509703736,0.009249500800796036,20,20
1-2 PT,Globisporangium_iwayami,0.014987439744721297,0.06702586815575783,0.014987439744721295,20,5
1-2 PT,Globisporangium_nodosum,0.014778339100077989,0.04169989704625027,0.009324380445015828,20,35
1-2 PT,Albugo_laibachii,0.01416984146491336,0.06336945749188293,0.014169841464913355,20,5
1-2 PT,Saprolegnia_ferax,0.0121101457882819,0.029176691201491647,0.006524106488505534,20,25
1-2 PT,Phytophthora_fragariae,0.010167090091850696,0.045468609157485476,0.010167090091850696,20,5
3-4 PT,Thraustotheca_clavata,0.3011994096330666,0.4652190457679202,0.2685943413062496,3,66.66666666666666
3-4 PT,Globisporangium_selbyi,0.24649847632442567,0.4269478849822193,0.2464984763244257,3,33.33333333333333
3-4 PT,Achlya_hypogyna,0.18694568141375442,0.2582285572590713,0.1490883270459735,3,66.66666666666666
3-4 PT,Saprolegnia_parasitica,0.0867605565685356,0.14060479817496338,0.08117821807566811,3,66.66666666666666
3-4 PT,Aphanomyces_astaci,0.0698384689958625,0.11414357408130235,0.0659008232221059,3,66.66666666666666
3-4 PT,Pythium_brachiatum,0.05432977461447212,0.09410192999603155,0.05432977461447214,3,33.33333333333333
3-4 PT,Globisporangium_rostratifingens,0.031162095639943745,0.05397433291870315,0.031162095639943745,3,33.33333333333333
3-4 PT,Aphanomyces_stellatus,0.019916796671866875,0.034496903759692145,0.019916796671866875,3,33.33333333333333
3-4 PT,Other,0.003348740138072471,0.00423719132070795,0.002446343549618681,3,66.66666666666666
5-8 PT,Saprolegnia_parasitica,0.3268855172000625,0.44062116835231185,0.16653914769299152,7,71.42857142857143
5-8 PT,Globisporangium_aquisylvae,0.3058158819741339,0.4253816864548206,0.1607791649486726,7,42.857142857142854
5-8 PT,Globisporangium_rostratifingens,0.09559074726002996,0.22338853657701044,0.08443293050363222,7,28.57142857142857
5-8 PT,Saprolegnia_ferax,0.08671963963283821,0.2294386002536305,0.0867196396328382,7,14.285714285714285
5-8 PT,Pythium_monospermum,0.07710235906012,0.20399366756948528,0.07710235906011999,7,14.285714285714285
5-8 PT,Phytophthora_nemorosa,0.05734090322937076,0.14750373519504767,0.055751171539888796,7,28.57142857142857
5-8 PT,Other,0.0343303208635965,0.04419049198599056,0.016702436015503398,7,57.14285714285714
5-8 PT,Thraustotheca_clavata,0.016214630779848173,0.04289988064421156,0.01621463077984817,7,14.285714285714285
10-12 PT,Saprolegnia_parasitica,0.23125965427005196,0.35843266812604324,0.14632952400885832,6,66.66666666666666
10-12 PT,Achlya_hypogyna,0.17932904647980236,0.4012586799289715,0.16381317011478902,6,66.66666666666666
10-12 PT,Globisporangium_aquisylvae,0.12970463447363553,0.28234943857397304,0.115268675611256,6,33.33333333333333
10-12 PT,Globisporangium_heterothallicum,0.09867472745847153,0.24170273278145166,0.09867472745847156,6,16.666666666666664
10-12 PT,Pythium_dissotocum,0.06643870675904102,0.1627409307300504,0.06643870675904102,6,16.666666666666664
10-12 PT,Globisporangium_terrestre,0.04604054695315236,0.08351392660381086,0.03409441776593032,6,33.33333333333333
10-12 PT,Other,0.0417033994895628,0.04956370481370964,0.0202342977592525,6,100
10-12 PT,Pythium_dissimile,0.034011133118908736,0.08330992171520019,0.034011133118908736,6,16.666666666666664
10-12 PT,Phytopythium_helicoides,0.030703906283125266,0.07520890350389131,0.03070390628312527,6,16.666666666666664
10-12 PT,Pythium_jasmonium,0.028143094356394543,0.06716752552431227,0.027421027469988368,6,33.33333333333333
10-12 PT,Globisporangium_mamillatum,0.02693855200818989,0.06598570682949231,0.02693855200818989,6,16.666666666666664
10-12 PT,Pythium_insidiosum,0.025249404880885323,0.06184815826710811,0.025249404880885323,6,16.666666666666664
10-12 PT,Globisporangium_glomeratum,0.022055222021635387,0.05402404011680156,0.02205522202163539,6,16.666666666666664
10-12 PT,Pythium_apleroticum,0.014538462602536968,0.035611815020751135,0.01453846260253697,6,16.666666666666664
10-12 PT,Globisporangium_iwayami,0.012775873151917718,0.031294370240721445,0.01277587315191772,6,16.666666666666664
10-12 PT,Globisporangium_attrantheridium,0.012433635692688617,0.030456063094743586,0.01243363569268862,6,16.666666666666664
