YrSinceTrt_BR,Kingdom,Phylum,Class,Order,Family,Genus,Species,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_aquisylvae,0.13372398407926028,0.2605832610508992,0.04227218693056535,38,42.10526315789473
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_terrestre,0.1198795117680678,0.26173696518241496,0.042459342454344275,38,26.315789473684205
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Achlya,Achlya_hypogyna,0.116713833917398,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Other,Other,Other,Other,Other,Other,Other,0.07899473765303916,NA,NA,NA,NA
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium_helicoides,0.06676981578130804,0.21744022256952014,0.035273461916216865,38,15.789473684210526
SOD-UT,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_ramorum,0.04961242062862207,0.18924932096154826,0.03070029379441417,38,10.526315789473683
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_contiguanum,0.04933326483654357,0.13153493522019244,0.02133778411976241,38,18.421052631578945
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_parasitica,0.04908782147039522,0.17423079965146354,0.028263967924209585,38,18.421052631578945
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Halophytophthora,Halophytophthora_kandeliae,0.04256450168992576,0.13402991719130114,0.021742523640811293,38,13.157894736842103
SOD-UT,Stramenopila,Oomycota,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium_sp.sinuatum,0.041503814447605154,0.16565209628360247,0.026872318472415904,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_nodosum,0.03265276327023254,0.07773757402535952,0.012610699733651675,38,50
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_monospermum,0.029353679411899997,0.09677567920308734,0.01569908821121961,38,18.421052631578945
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_lucens,0.02784145182894397,0.13769848396123985,0.022337643755743843,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Elongisporangium,Elongisporangium_anandrum,0.025212571171428638,0.12750495145632515,0.02068403442645396,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium_iriomotense,0.023963205464762664,0.094975238843121,0.015407018217364689,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae,Aphanomyces,Aphanomyces_stellatus,0.021602048672522706,0.06338562063763199,0.010282505459092053,38,18.421052631578945
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_junctum,0.01859094615014587,0.07937166632055015,0.012875784508036328,38,15.789473684210526
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_acanthophoron,0.018490874122647067,0.06385874887105648,0.01035925699349526,38,15.789473684210526
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_brachiatum,0.015299513389020216,0.07361637907609636,0.011942153632225285,38,10.526315789473683
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_jasmonium,0.014355596580352965,0.040275330215810846,0.006533521304119577,38,15.789473684210526
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium_aichiense,0.012657592686438554,0.06950679483815607,0.011275491036890028,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_nemorosa,0.011796050979439634,0.038322221878259906,0.006216685293979722,38,13.157894736842103
1-2 PT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_aquisylvae,0.23373694533387668,0.354778959420753,0.07933098702514431,20,45
1-2 PT,Other,Other,Other,Other,Other,Other,Other,0.07867563604760665,NA,NA,NA,NA
1-2 PT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_terrestre,0.07721425978784104,0.18388800057217922,0.04111860695259129,20,20
1-2 PT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_attrantheridium,0.06042440257667153,0.17806605262294872,0.0398167798149968,20,15
1-2 PT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_parasitica,0.05470719270720097,0.1557703473677939,0.03483130855931426,20,30
