"Treatuntreat_EP","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Globisporangium",0.362748359477283,0.338460254721341,0.0549055035171758,38,81.578947368421
"Unmitigated","Pythium",0.146233099177025,0.212087905215723,0.0344052013887411,38,65.7894736842105
"Unmitigated","Phytopythium",0.119864792540196,0.239709460241038,0.0388860092987892,38,39.4736842105263
"Unmitigated","Achlya",0.116713833917398,0.215557187444478,0.0349679932821934,38,36.8421052631579
"Unmitigated","Phytophthora",0.0642276079892209,0.193049254262647,0.0313167243747206,38,42.1052631578947
"Unmitigated","Saprolegnia",0.0528603458631158,0.187355040590675,0.0303930009406311,38,21.0526315789474
"Unmitigated","Halophytophthora",0.0427845222739745,0.133974074609091,0.0217334647777655,38,15.7894736842105
"Unmitigated","Lagenidium",0.0415038144476052,0.165652096283602,0.0268723184724159,38,7.89473684210526
"Unmitigated","Elongisporangium",0.0252275229705661,0.127595595050401,0.0206987387591013,38,7.89473684210526
"Unmitigated","Aphanomyces",0.0244002092203846,0.0639823992366261,0.0103793157315213,38,26.3157894736842
"Unmitigated","Other",0.000548046336522857,NA,NA,NA,NA
"Mitigated","Globisporangium",0.410526790884023,0.368414675211646,0.0614024458686076,36,66.6666666666667
"Mitigated","Saprolegnia",0.163346592094071,0.287891780542967,0.0479819634238278,36,55.5555555555556
"Mitigated","Pythium",0.120075741700313,0.187408922350678,0.0312348203917797,36,61.1111111111111
"Mitigated","Achlya",0.065310784791337,0.192329993123543,0.0320549988539238,36,33.3333333333333
"Mitigated","Phytopythium",0.0639729204450647,0.134003196515887,0.0223338660859811,36,38.8888888888889
"Mitigated","Phytophthora",0.060759040169546,0.144351849388004,0.0240586415646674,36,38.8888888888889
"Mitigated","Thraustotheca",0.0335493432247576,0.140226532721394,0.023371088786899,36,25
"Mitigated","Elongisporangium",0.0294998334862654,0.102583893443844,0.017097315573974,36,11.1111111111111
"Mitigated","Lagenidium",0.0233360762776,0.100364337500757,0.0167273895834595,36,11.1111111111111
"Mitigated","Aphanomyces",0.0165705964081314,0.0469919005509042,0.0078319834251507,36,38.8888888888889
"Mitigated","Other",0.00170265837433226,NA,NA,NA,NA
